Status,Symbol,BUY SCORE,BUY TIME PLACED (AUTOPICKLR),BUY TIME EXECUTED (KRAKEN),BUY PRICE PLACED (AUTOPICKLR),BUY PRICE EXECUTED (KRAKEN),BUY QUANTITY (KRAKEN),BUY COST (KRAKEN),BUY FEE (KRAKEN),ATR STOP,EMA SLOPE,BREAKOUT PERCENTAGE,RR,EMA SPREAD,SELL TIME PLACED (AUTOPICKLR),SELL TIME EXECUTED (KRAKEN),SELL PRICE PLACED (AUTOPICKLR),SELL PRICE EXECUTED (KRAKEN),SELL QUANTITY (% OF POSITION),SELL QUANTITY,SELL COST,SELL FEE,REASON FOR SELL,P/L (%),P/L ($),TIME POSITION WAS OPEN (HOURS),POSITION HIGHEST P/L %,POSITION LOWEST P/L %
CLOSED,AAVE/USD,0.5,2025-08-25 09:50:36.379336,2025-08-25 09:50:36.379336,329.43,329.43,0.07588865,24.9999979695,,322.8414,,,2.5,,2025-09-01 02:50:02.876323,2025-09-01 02:50:02.876323,310.52,310.5199999999999,72.14341,0.05474866,17.000553903199997,0.0,LIVE kraken STOP/TSL,0.0,0.0,104.676947,,
CLOSED,BCH/USD,0.5,2025-08-25 09:50:36.696223,2025-09-03 11:01:34.528000,565.91,602.77,0.04140992,24.9606574784,,554.5917999999999,,,2.5,,2025-09-03 15:56:32.425088,2025-09-03 15:56:32.425088,591.6456000000001,591.6456000000001,100.0,0.04140992,24.499996964352004,0.0,LIVE kraken STOP/TSL,0.0,0.0,104.676871,,
CLOSED,TAO/USD,0.5,2025-08-25 09:52:58.251013,2025-08-25 09:52:58.251013,342.9461,342.9461,0.07289,24.997341229,,336.087178,,,2.5,,2025-08-29 18:31:13.446798,2025-08-29 18:31:13.446798,360.093405,360.093405,0.0,0.0,0.0,0.0,CLOSED,0.0,0.0,104.637554,,
CLOSED,PYTH/USD,0.5,2025-08-29 18:51:55.138533,2025-09-02 19:01:32.930000,0.20162,0.15754,102.33995,16.122635723000002,,0.20656396,,,,,2025-09-03 10:36:02.143604,2025-09-03 10:36:02.143604,0.1575936,0.1878056180442686,221.160534,226.33558,42.507093487308,0.0,LIVE kraken STOP/TSL,5.0,0.37499989,1.468188,,
CLOSED,SOL/USD,0.2197,2025-08-29 18:51:55.388950,2025-08-29 18:51:55.388950,202.24,202.24,0.1236155,24.99999872,,198.1952,,,2.5,,2025-08-29 18:52:56.511789,2025-08-29 18:52:56.511789,212.35200000000003,212.35200000000003,0.0,0.0,0.0,0.0,CLOSED,0.0,0.0,0.016978,,
CLOSED,PAXG/USD,0.5,2025-08-29 18:56:57.150324,2025-09-02 16:18:08.254000,3456.66,3537.296545,0.00706422,24.988240999119903,,3387.5267999999996,,,2.5,,2025-09-06 10:02:43.753653,2025-09-06 10:02:43.753653,3610.62,3581.022847516244,494.126882,0.03490621,124.99993553019999,0.0,LIVE kraken TIME,0.0,0.0,4.734043,,
CLOSED,AAVE/USD,0.266,2025-08-29 19:07:19.171711,2025-08-29 19:07:19.171711,310.52,310.52,0.0,0.0,,310.52,,,,,2025-09-01 02:50:02.876323,2025-09-01 02:50:02.876323,310.52,310.5199999999999,,0.05474866,17.000553903199997,0.0,LIVE kraken STOP/TSL,0.0,0.0,55.712141,,
OPEN,PAXG/USD,0.5,2025-08-29 23:41:17.383865,2025-09-02 16:18:08.254000,3467.81,3537.296545,0.00706422,24.988240999119903,,3398.4538,,,0.136444,,2025-09-06 10:02:43.753653,2025-09-02 23:41:21.986000,3610.62,3545.4799999999996,99.815549,0.00705119,24.999853121199997,0.0,LIVE kraken TIME,0.0,0.0,96.001296,,
CLOSED,BNB/USD,0.1399,2025-08-30 00:50:17.533484,2025-08-30 00:50:17.533484,859.02,859.02,0.0,0.0,,841.8396,,,2.5,,2025-09-01 20:45:47.286148,2025-09-01 20:45:47.286148,841.8396,841.8396,,0.0291,24.49753236,0.0,LIVE kraken STOP/TSL,-2.0,-0.49994964,67.924936,,
CLOSED,FIL/USD,0.1574,2025-09-01 16:37:55.752360,2025-09-01 16:37:55.752360,2.318,2.318,0.0,0.0,,2.27164,,,2.5,,2025-09-01 20:45:47.591073,2025-09-01 20:45:47.591073,2.27164,2.27164,,4.85182934,11.0216096019176,0.0,LIVE kraken STOP/TSL,-2.0,-0.22493081,4.131063,,
